feature,psi
 Operating profit per person,0.0204194677197293
 Working Capital to Total Assets,0.019571827787524303
 Cash flow rate,0.019144930640149133
 Non-industry income and expenditure/revenue,0.01869752906222781
 Working Capital/Equity,0.017045418373390932
 Inventory/Working Capital,0.015298685663568262
 Persistent EPS in the Last Four Seasons,0.014197702135581582
 Quick Ratio,0.01402243573656003
 Cash/Current Liability,0.013476042590828453
 Total expense/Assets,0.012175116858957231
 ROA(C) before interest and depreciation before interest,0.01205039593987721
 Net Value Per Share (B),0.01202068631465865
 Retained Earnings to Total Assets,0.010763004847256563
 Equity to Long-term Liability,0.010722477426041344
 Quick Assets/Current Liability,0.009775633067147115
 Total income/Total expense,0.00935829066312575
 Net Income to Stockholder's Equity,0.00887504760810854
 Net Value Growth Rate,0.00872662470068365
 Realized Sales Gross Profit Growth Rate,0.00858561547972422
 Allocation rate per person,0.007655212932020531
